# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.0122496     	-5.170285e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0124844     	-5.241089e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0127193     	-5.181247e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0129542     	-5.440552e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.013189      	-5.329845e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0134239     	-5.461723e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0136675     	-5.486753e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.013911      	-5.620613e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0141546     	-5.458416e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0143981     	-5.690484e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0146417     	-5.613187e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0148852     	-5.817093e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0151288     	-5.560319e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0153724     	-5.861041e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0156159     	-5.687312e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0158595     	-5.963345e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.016103      	-5.621662e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0163466     	-5.977268e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0165902     	-5.738459e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0168337     	-6.049275e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0170773     	-5.664739e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0173208     	-6.029304e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0175644     	-5.778813e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.017808      	-6.058623e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0180515     	-5.709199e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0182951     	-5.999753e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0185386     	-5.820921e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0187822     	-6.012266e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0190258     	-5.741536e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0192693     	-6.034282e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0195129     	-5.808586e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0197564     	-5.889550e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.02          	-5.866479e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0202564     	-5.904304e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0205128     	-5.746958e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0207692     	-5.918275e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0210256     	-5.784687e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0212821     	-5.774675e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0215385     	-5.811909e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0217949     	-5.787562e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0220513     	-5.677415e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0223077     	-5.786712e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0225641     	-5.706157e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0228205     	-5.634267e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0230769     	-5.712819e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0233333     	-5.654366e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0235897     	-5.567744e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0238462     	-5.652150e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0241026     	-5.591004e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.024359      	-5.592256e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0246154     	-5.482291e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0248718     	-5.577357e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0251282     	-5.519409e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0253846     	-5.520799e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.025641      	-5.414136e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0258974     	-5.508361e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0261538     	-5.453061e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0264103     	-5.456023e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0266667     	-5.353007e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0269231     	-5.449467e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0271795     	-5.397463e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0274359     	-5.398745e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0276923     	-5.301578e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0279487     	-5.398566e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0282051     	-5.351515e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0284615     	-5.364307e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0287179     	-5.267040e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0289744     	-5.369724e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0292308     	-5.324768e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0294872     	-5.336727e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0297436     	-5.241226e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.03          	-5.305171e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0302564     	-5.281899e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0305128     	-5.322525e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0307692     	-5.163678e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0310256     	-5.348678e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0312821     	-5.222071e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0315385     	-5.319380e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0317949     	-5.141283e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0320513     	-5.346438e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0323077     	-5.205238e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
